Month Key,Month-Year,Total Incidents,Austin Incidents,Travis County Incidents,Other Area Incidents,Combined Austin and Travis County Incidents,Austin P1 Incidents,Austin P2 Incidents,Austin P3 Incidents,Austin P4 Incidents,Austin P5 Incidents,Travis County P1 Incidents,Travis County P2 Incidents,Travis County P3 Incidents,Travis County P4 Incidents,Travis County P5 Incidents,Overall On-Time Compliance,Austin On-Time Compliance,Travis County On-Time Compliance,Austin P1 On-Time Compliance,Austin P2 On-Time Compliance,Austin P3 On-Time Compliance,Austin P4 On-Time Compliance,Austin P5 On-Time Compliance,Travis County P1 On-Time Compliance,Travis County P2 On-Time Compliance,Travis County P3 On-Time Compliance,Travis County P4 On-Time Compliance,Travis County P5 On-Time Compliance,Target On-Time Compliance
201506,06/01/2015 12:00:00 AM,11648,9965,1655,28,11620,755,2889,1463,3703,1155,97,531,179,672,176,93.94%,94.64%,89.73%,91.38%,93.25%,96.53%,97.20%,91.71%,80.00%,84.05%,90.68%,96.15%,93.25%,90.00%
201507,07/01/2015 12:00:00 AM,11791,10046,1727,18,11773,770,2148,2185,3815,1128,99,492,303,688,145,94.88%,95.70%,90.07%,90.51%,95.01%,97.21%,97.71%,92.54%,74.19%,84.40%,88.64%,97.23%,97.67%,90.00%
201508,08/01/2015 12:00:00 AM,11729,9994,1707,28,11701,757,2122,2140,3877,1098,109,448,262,689,199,94.65%,95.62%,88.88%,88.66%,94.49%,97.01%,97.92%,93.65%,83.00%,83.00%,89.27%,94.09%,91.89%,90.00%
201509,09/01/2015 12:00:00 AM,11232,9590,1609,33,11199,721,2208,2082,3658,921,128,406,282,641,152,94.95%,95.92%,89.06%,91.92%,95.10%,96.94%,97.56%,93.63%,75.86%,81.56%,90.48%,96.45%,94.29%,90.00%
201510,10/01/2015 12:00:00 AM,11448,9644,1786,18,11430,732,2081,1991,3779,1061,122,436,315,734,179,94.30%,95.21%,89.12%,91.21%,93.78%,96.96%,96.92%,92.94%,76.64%,83.12%,91.51%,94.94%,91.30%,90.00%
201511,11/01/2015 12:00:00 AM,10179,8583,1569,27,10152,640,1952,1686,3299,1006,114,404,275,611,165,94.31%,95.17%,89.44%,87.77%,94.49%,96.91%,97.20%,93.19%,74.76%,85.48%,91.67%,96.14%,88.24%,90.00%
201512,12/01/2015 12:00:00 AM,10346,8688,1650,8,10338,684,1910,1709,3456,929,122,409,259,693,167,95.78%,96.51%,91.90%,91.74%,95.49%,97.71%,98.12%,95.26%,81.74%,87.70%,93.53%,96.57%,93.04%,90.00%
201601,01/01/2016 12:00:00 AM,10327,8705,1608,14,10313,662,1920,1739,3409,975,129,403,281,621,174,95.89%,96.75%,91.16%,93.86%,96.19%,98.02%,97.80%,94.73%,81.15%,87.02%,91.34%,96.37%,94.41%,90.00%
201602,02/01/2016 12:00:00 AM,10401,8788,1585,28,10373,686,1980,1686,3474,962,123,424,298,577,163,95.06%,95.85%,90.81%,93.07%,95.35%,96.88%,97.76%,92.01%,81.20%,85.22%,93.33%,96.05%,93.59%,90.00%
201603,03/01/2016 12:00:00 AM,11184,9408,1751,25,11159,756,2105,1839,3640,1068,144,457,328,683,139,95.27%,96.18%,90.31%,90.79%,95.74%,97.54%,97.62%,94.74%,77.37%,86.84%,91.28%,96.40%,91.47%,90.00%
201604,04/01/2016 12:00:00 AM,11049,9329,1700,20,11029,710,2073,1879,3694,973,133,432,250,705,180,94.42%,95.24%,89.84%,90.26%,93.26%,96.72%,97.59%,93.33%,77.42%,86.17%,90.91%,95.42%,89.87%,90.00%
201605,05/01/2016 12:00:00 AM,11336,9486,1827,23,11313,726,2030,1916,3791,1023,149,489,289,744,156,95.24%,95.97%,91.33%,91.71%,94.38%,97.44%,98.38%,92.69%,75.86%,89.18%,91.80%,95.76%,94.24%,90.00%
201606,06/01/2016 12:00:00 AM,11311,9514,1784,13,11298,747,2115,1907,3601,1144,121,436,325,716,186,94.20%,95.28%,88.40%,90.75%,94.54%,96.31%,96.97%,93.77%,76.15%,83.38%,89.75%,93.86%,89.94%,90.00%
201607,07/01/2016 12:00:00 AM,11167,9411,1735,21,11146,748,2099,1955,3570,1039,132,480,283,667,173,94.79%,95.70%,89.81%,89.49%,94.50%,97.05%,97.59%,94.92%,72.17%,86.92%,93.46%,93.82%,93.46%,90.00%
201608,08/01/2016 12:00:00 AM,11222,9556,1649,17,11205,789,2064,2139,3531,1033,119,436,271,642,181,93.72%,94.65%,88.48%,90.47%,92.36%,96.48%,96.61%,93.40%,70.91%,84.92%,91.67%,94.77%,87.12%,90.00%
