24 HOUR VOLUME COUNT LOCATIONS,NB TOTAL,SB TOTAL,EB TOTAL, WB TOTOAL,TOTAL VOLUME,DATE
"29th St West,,1700 blk - West of Jefferson St",,,178,122,300,10/01/2013 12:00:00 AM
"29th St West,1700 blk - West of Jefferson St",,,178,122,300,10/01/2013 12:00:00 AM
"2nd St East, 2300 blk - East of Mildred St",,,1315,1598,2913,05/08/2001 12:00:00 AM
"2nd St South, 3600 blk - South of Gamez Cv ",795,425,,,1220,03/05/2012 12:00:00 AM
"2nd St West, 200 blk - East of Lavaca St                        1-way WB",,,n/a,6570,6570,10/15/2002 12:00:00 AM
"30th St East, 1100 blk - East of IH35 ESR",,,209,346,555,03/29/2004 12:00:00 AM
"30th St East, 500 blk - East of Fruth St",,,1383,2435,3818,05/22/2001 12:00:00 AM
"30th St East,100 blk - East of Cedar St",,,2758,2835,5593,05/22/2001 12:00:00 AM
"30th St West, 1500 blk - West of Kerby Ln",,,209,190,399,11/27/2007 12:00:00 AM
"30th St West, 700 blk - West of Salado St",,,675,679,1354,10/01/2008 12:00:00 AM
"31st St East, 100 blk - East of Helms St",,,2261,2053,4314,05/08/2007 12:00:00 AM
"31st St East, 1100 blk - East of IH35 ESR",,,185,164,349,03/29/2004 12:00:00 AM
"31st St East, 200 blk - West of Walling Dr",,,1963,1861,3824,10/08/2008 12:00:00 AM
"31st St West, 600 blk - West of Guadalupe St",,,372,441,813,10/14/2009 12:00:00 AM
"31st St West, 700 blk - East of West Ave",,,280,260,540,09/13/2005 12:00:00 AM
"31st St West, 700 blk - East of West Ave",,,279,319,598,09/02/2003 12:00:00 AM
"31st St West, 800 blk - West of West Ave",,,286,203,489,09/13/2005 12:00:00 AM
"32nd St East, 1100 blk - East of IH35",,,465,653,1118,03/29/2004 12:00:00 AM
"32nd St East, 1700 blk - East of Cherrywood Rd",,,132,100,232,04/29/2004 12:00:00 AM
"32nd St East, 300 blk - West of Walling Dr",,,589,587,1176,10/20/2003 12:00:00 AM
"32nd St East, 700 blk - East of Fairfax Walk",,,2171,2402,4573,05/08/2007 12:00:00 AM
"32nd St East, 700 blk - East of Harris Park Ave",,,2752,2881,5633,05/05/2003 12:00:00 AM
"32nd St East, 900 blk - East of Red River St",,,4225,2524,6749,04/28/2011 12:00:00 AM
"32nd St East, 900 blk - East of Red River St",,,4740,3177,7917,03/04/2009 12:00:00 AM
"32nd St East, 900 blk - East of Red River St",,,4490,3620,8110,06/09/2003 12:00:00 AM
"32nd St West, 600 blk - East of King St",,,466,360,826,09/13/2005 12:00:00 AM
"32nd St West, 700 blk - East of Kings Ln",,,310,382,692,10/08/2008 12:00:00 AM
"32nd St West, 700 blk - East of West Ave",,,418,313,731,09/13/2005 12:00:00 AM
"32nd St West, 700 blk - West of King St",,,424,304,728,09/13/2005 12:00:00 AM
"32nd St West, 800 blk - West of West Ave",,,439,305,744,09/13/2005 12:00:00 AM
"32nd St, West, 1500 blk - West of Churchill Dr",,,128,348,476,03/31/2014 12:00:00 AM
"33rd St, East, 400 blk - East of Tom Green St",,,422,383,805,11/08/2004 12:00:00 AM
"33rd St, West, 300 blk - East of Hemphill Park (West)",,,200,208,408,08/14/2007 12:00:00 AM
"33rd St, West, 400 blk - West of Hemphill Park (West)",,,246,171,417,08/14/2007 12:00:00 AM
"33rd St. East, 400 blk - East of Tom Green St",,,495,376,871,02/11/2009 12:00:00 AM
"34th St East, 1500 blk - East of Kern Ramble",,,50,70,120,11/05/2009 12:00:00 AM
"34th St West, 1500 blk - East of Kerbey Ln",,,891,1866,2757,04/27/2004 12:00:00 AM
"34th St West, 1500 blk - West of Mills St",,,915,1553,2468,11/27/2007 12:00:00 AM
"34th St West, 1600 blk - West of Kerbey Ln",,,775,1793,2568,04/27/2004 12:00:00 AM
"34th St West, 1700 blk - West of Bryker Dr",,,311,324,635,11/27/2007 12:00:00 AM
"34th St West, 300 blk - East of Hemphill Park",,,1147,792,1939,10/20/2003 12:00:00 AM
"34th St West, 400 blk - East of Fruth St",,,1270,895,2165,05/08/2007 12:00:00 AM
"35th St (CutOff), 1400 blk - North of West 35th St",4118,4750,,,8868,11/05/2009 12:00:00 AM
"35th St East, 200 blk - West of Grooms St",,,342,525,867,05/17/2006 12:00:00 AM
"35th St East, 300 blk - East of Grooms St",,,269,347,616,05/08/2007 12:00:00 AM
"35th St East, 300 blk - East of Grooms St",,,412,244,656,05/17/2006 12:00:00 AM
"35th St East, 300 blk - West of Tom Green St",,,288,354,642,10/20/2003 12:00:00 AM
"38th 1/2 St East, 1200 blk - West of Werner Ave",,,5914,6107,12021,09/29/2003 12:00:00 AM
"38th 1/2 St East, 1200 blk - West of Werner Ave",,,6755,6100,12855,12/05/2002 12:00:00 AM
"38th 1/2 St East, 1500 blk - West of Maplewood Ave",,,3358,3581,6939,02/17/2010 12:00:00 AM
"38th 1/2 St East, 1500 blk - West of Maplewood Ave",,,4096,4606,8702,09/25/2002 12:00:00 AM
"38th 1/2 St East, 1700 blk - West of Vineland Dr",,,2714,2712,5426,02/17/2010 12:00:00 AM
"38th 1/2 St East, 1700 blk - West of Vineland Dr",,,3349,3211,6560,09/29/2003 12:00:00 AM
"38th St West, 1400 blk - East of Crawford St",,,15373,14510,29883,06/27/2005 12:00:00 AM
"38th St West, 200 blk - West of Cedar St",,,11814,12818,24632,06/28/2005 12:00:00 AM
"39 1/2 St West, 1000 blk - East of Medical Pkwy",,,740,898,1638,05/10/2007 12:00:00 AM
"39 1/2 St West, 1400 blk - East of Peterson Ave",,,356,433,789,05/08/2007 12:00:00 AM
"3rd St East, 1900 blk - East of Chicon St",,,365,462,827,05/01/2003 12:00:00 AM
"3rd St East, 2000 blk - East of Elkhart St",,,342,400,742,02/24/2010 12:00:00 AM
"3rd St East, 2100 blk - East of Elkhart St",,,374,365,739,05/01/2003 12:00:00 AM
"3rd St East, 600 blk - East of Red River St",,,34,318,352,03/02/2009 12:00:00 AM
"3rd St West, 800 blk - East of Bowie St",517,594,,,1111,11/29/2011 12:00:00 AM
"40th St East, 1800 blk - West of Airport Blvd",,,76,62,138,02/18/2010 12:00:00 AM
"40th St East, 1800 blk - West of Airport Blvd",,,62,60,122,03/30/2004 12:00:00 AM
"40th St East, 300 blk - West of Ave H",,,532,630,1162,03/22/2005 12:00:00 AM
"40th St East, 400 blk - East of Ave H",,,605,642,1247,03/22/2005 12:00:00 AM
"40th St West, 1000 blk - East of Marathon Blvd",,,1075,904,1979,05/10/2007 12:00:00 AM
"40th St West, 1200 blk - East of Bailey Ln",,,696,626,1322,05/08/2007 12:00:00 AM
"40th St West, 1400 blk - West of Burnet Rd",,,338,521,859,05/29/2008 12:00:00 AM
"40th St West, 1600 blk - West of Ramsey Ave",,,329,527,856,05/08/2007 12:00:00 AM
"42nd St West, 1100 blk - East of Bellvue Ave",,,401,510,911,04/16/2008 12:00:00 AM
"42nd St West, 1200 blk - East of Medical Pkwy",,,552,801,1353,04/22/2008 12:00:00 AM
"42nd St West, 1300 blk - West of Medical Pkwy",,,525,462,987,04/22/2008 12:00:00 AM
"43rd St West, 1100 blk - East of Bellvue Ave",,,307,357,664,04/16/2008 12:00:00 AM
"43rd St West, 1200 blk - West of Bellvue Ave",,,280,342,622,10/11/2007 12:00:00 AM
"44th St West, 1200 blk - West of Bellvue Ave",,,383,710,1093,04/23/2008 12:00:00 AM
"44th St West, 1200 blk - West of Bellvue Ave",,,334,695,1029,10/11/2007 12:00:00 AM
"44th St West, 1300 blk - East of Burnet Rd",,,417,329,746,04/14/2005 12:00:00 AM
"44th St West, 1300 blk - West of Burnet Rd",,,228,296,524,01/29/2009 12:00:00 AM
"44th St West, 1400 blk - West of Burnet Rd",,,310,428,738,04/14/2005 12:00:00 AM
"44th St West, 1400 blk - West of Rosedale Ave",,,110,198,308,01/26/2009 12:00:00 AM
"45th St East, 200 blk - West of Avenue G",,,8140,7859,15999,05/23/2007 12:00:00 AM
"45th St East, 600 blk - West of Eilers Ave",,,7793,7170,14963,05/23/2007 12:00:00 AM
"45th St East, 600 blk - West of Eilers Ave",,,8523,7664,16187,11/13/2002 12:00:00 AM
"45th St East, 700 blk - East of Eilers Ave",,,8847,7898,16745,05/15/2002 12:00:00 AM
"45th St West, 1600 blk - East of Shoalwood",,,8351,8538,16889,05/23/2007 12:00:00 AM
"45th St West, 1600 blk - West of Ramsey Ave",,,7682,7844,15526,09/10/2007 12:00:00 AM
"45th St West, 1700 Blk - West of Sinclair Ave",,,9264,8536,17800,02/23/2002 12:00:00 AM
"45th St West, 200 blk - East of Ave C",,,9282,8763,18045,05/15/2005 12:00:00 AM
"45th St West, 2500 blk - West of Edendale Court",,,6634,8167,14801,09/10/2007 12:00:00 AM
"45th St West, 2600 blk - West of Chappero",,,7075,8121,15196,09/10/2007 12:00:00 AM
"45th St West, 2600 blk - West of Erin Ln",,,7556,8800,16356,05/23/2007 12:00:00 AM
"45th St West, 2700 Blk - East of Chiappero Trl",,,8592,9700,18292,02/23/2002 12:00:00 AM
"45th St West, 2800 blk - West of Placid Place",,,7998,7186,15184,09/10/2007 12:00:00 AM
"45th St West, 800 blk - East of N. Lamar Blvd",,,10818,9596,20414,05/15/2002 12:00:00 AM
"45th St West, 800 blk - West of Guadalupe St",,,8674,8285,16959,05/23/2007 12:00:00 AM
"46th St East/West, 100 blk - At Speedway",,,889,223,1112,09/12/2006 12:00:00 AM
"46th St West, 1400 blk - East of Rosedale Ave",,,260,337,597,04/16/2008 12:00:00 AM
"46th St West, 1500 blk - West of Rosedale Ave",,,137,191,328,01/28/2008 12:00:00 AM
"46th St West, 1800 blk - West of Shoalwood Ave",,,128,243,371,04/16/2008 12:00:00 AM
"46th St West, 200 Blk - West of Avenue D",,,1159,629,1788,02/08/2006 12:00:00 AM
"46th St West, 400 Blk - West of Avenue B",,,1320,778,2098,02/08/2006 12:00:00 AM
"47th St East, 600 blk - East of Evans Ave",,,278,266,544,09/30/2013 12:00:00 AM
"47th St West, 1400 blk - East of Rosedale Ave",,,289,251,540,04/16/2008 12:00:00 AM
"47th St West, 1500 blk - East of Rosedale Ave",,,151,165,316,01/28/2008 12:00:00 AM
"47th St West, 600 blk - East of Evans Ave",,,278,266,544,09/03/2013 12:00:00 AM
"49th St East, 700 blk - West of Caswell Ave",,,156,199,355,05/22/2003 12:00:00 AM
"49th St East, 800 blk - East of Caswell Ave",,,205,247,452,05/22/2003 12:00:00 AM
"49th St West, 2200 blk - East of Sinclair Ave",,,279,423,702,01/28/2008 12:00:00 AM
"4th St East, 2900 blk - East of Broadway",,,182,142,324,10/06/2008 12:00:00 AM
"4th St East, 2900 blk - West of Linden St",,,169,159,328,04/13/2004 12:00:00 AM
"4th St East, 600 blk - East of Red River St",,,n/a,1161,1161,03/02/2009 12:00:00 AM
"50th St West, 2800 blk - West of Placid Place",,,97,118,215,04/04/2001 12:00:00 AM
"51st St East, 1200 blk - West of the Apartment Drwy",,,8601,12554,21155,03/04/2010 12:00:00 AM
"51st St East, 1300 blk - West of Berkman Dr",,,8950,10449,19399,10/03/2001 12:00:00 AM
"51st St East, 1400 blk - West of Robert Mueller Blvd",,,10588,11622,22210,09/12/2013 12:00:00 AM
"51st St East, 1600 blk - West of Berkman Dr",11123,11577,,,22700,03/20/2013 12:00:00 AM
"51st St East, 1700 blk - East of Berkman Dr",8131,8351,,,16482,03/20/2013 12:00:00 AM
"51st St East, 1800 blk - East of Berkman Dr",,,6820,7581,14401,10/03/2001 12:00:00 AM
"51st St East, 2100 blk - West of Westbrook",,,8474,8479,16953,02/25/2015 12:00:00 AM
"51st St East, 2100 blk - West of Westbrook Dr",,,6705,6816,13521,02/24/2010 12:00:00 AM
"51st St East, 2100 blk - West of Westbrook Dr",,,6817,6828,13645,02/18/2009 12:00:00 AM
"51st St East, 2200 blk - West of Old Manor Rd",,,5926,6147,12073,02/12/2004 12:00:00 AM
"51st St East, 2300 blk - East of Old Manor Rd",,,3930,3631,7561,02/12/2004 12:00:00 AM
"51st St East, 2900 blk - West of Blue Spruce Circle",,,4196,3961,8157,03/03/2010 12:00:00 AM
"51st St East, 600 blk - West of Martin Ave",,,3580,4130,7710,09/26/2011 12:00:00 AM
"51st St East, 700 blk - West of Caswell Ave",,,4460,5617,10077,05/15/2002 12:00:00 AM
"51st St East, 800 blk - West of Bennett Ave",,,5429,6821,12250,03/20/2001 12:00:00 AM
"51st St East, 900 blk - East of Bennett Ave",,,5219,6260,11479,03/04/2010 12:00:00 AM
"51st St East, 900 blk - East of Bennett Ave",,,4334,5945,10279,09/18/2006 12:00:00 AM
"51st St East, 900 blk - East of Bennett Ave",,,5401,6613,12014,08/07/2001 12:00:00 AM
"51st St West, 200 blk - East of Leralynn St",,,4661,5404,10065,05/08/2008 12:00:00 AM
"52nd St East, 1000 blk - East of Harmon Ave",,,84,216,300,02/05/2004 12:00:00 AM
"52nd St East, 700 blk - East of Eilers Ave",,,55,35,90,10/19/2011 12:00:00 AM
"52nd St East, 900 blk - East of Bennett Ave",,,148,162,310,06/11/2009 12:00:00 AM
"52nd St East, 900 blk - East of Bennett Ave",,,246,165,411,06/04/2001 12:00:00 AM
"53 1/2 St, East, 900 blk - West of Bennett Avenue",,,652,1457,2109,03/05/2014 12:00:00 AM
"53rd 1/2 St East, 900 blk - East of Bennett Ave",,,571,1191,1762,01/28/2004 12:00:00 AM
"53rd 1/2 St East, 900 blk - East of Bennett Ave",,,749,782,1531,06/04/2001 12:00:00 AM
"53rd 1/2 St East, 900 blk - West of Bennett Ave",,,677,1174,1851,03/12/2002 12:00:00 AM
"53rd St East, 1000 blk - East of Harmon Ave",,,92,241,333,02/05/2004 12:00:00 AM
"53rd St East, 600 blk - West of Martin Ave",,,2827,3111,5938,09/26/2011 12:00:00 AM
"53rd St East, 600 blk - West of Martin Ave ",,,3004,2979,5983,10/19/2011 12:00:00 AM
"53rd St East, 900 blk - East of Bennett Ave",,,164,134,298,06/04/2001 12:00:00 AM
"56th St East, 300 blk - East of Avenue G",,,283,378,661,02/12/2014 12:00:00 AM
"5th St East, 300 blk - East of San Jacinto Blvd (Sunday)  1-way EB",,,8211,n/a,8211,02/02/2003 12:00:00 AM
"5th St East, 3000 blk - East of Linden St",,,1253,1666,2919,03/25/2003 12:00:00 AM
"5th St East, 3400 blk - East of Allen St",,,999,1139,2138,03/24/2003 12:00:00 AM
"5th St East, 4800 blk - East of Springdale Rd",,,814,915,1729,03/26/2003 12:00:00 AM
"5th St East, 5200 blk - East of Shady Ln",,,562,761,1323,03/24/2003 12:00:00 AM
"5th St East, 600 blk - East of Red River St",,,7036,,7036,01/22/2008 12:00:00 AM
"5th St East, 700 blk - West of IH 35 West Service Rd",,,10971,,10971,04/09/2009 12:00:00 AM
"5th St South, 1800 blk - South of W. Annie St",2115,1609,,,3724,05/22/2013 12:00:00 AM
"5th St South, 2600 blk - North of Cumberland Rd",2476,2204,,,4680,03/08/2005 12:00:00 AM
"5th St South, 2600 blk - South of Herndon Ln",2247,2047,,,4294,12/11/2008 12:00:00 AM
"5th St South, 2700 blk - South of Cumberland Rd",1934,1682,,,3616,03/08/2005 12:00:00 AM
"5th St South, 3100 blk - North of Barton Skyway",1921,1665,,,3586,09/01/2004 12:00:00 AM
"5th St South, 3200 blk - South of Barton Skyway",1460,942,,,2402,09/01/2004 12:00:00 AM
"5th St West, 1100 blk - West of Baylor St                      1-way EB",,,23086,,23086,01/26/2011 12:00:00 AM
"5th St West, 1100 blk - West of Baylor St                      1-way EB",,,23665,,23665,03/25/2009 12:00:00 AM
"5th St West, 1100 blk - West of Baylor St                      1-way EB",,,22744,,22744,07/25/2001 12:00:00 AM
"5th St West, 700 blk - West of Rio Grande St",,,19492,,19492,07/26/2011 12:00:00 AM
"5th St West, 700 blk - West of Rio Grande St",,,,19249,19249,06/28/2005 12:00:00 AM
"6th St East, 2200 blk - East of Robert T Martinez Jr",,,1416,1669,3085,11/18/2003 12:00:00 AM
"6th St East, 600 blk - East of Red River St",,,,13159,13159,01/22/2008 12:00:00 AM
"6th St East, 700 blk - East of Sabine St",,,,11642,11642,08/09/2011 12:00:00 AM
"6th St West, 1100 blk - West of Baylor St                      1-way WB",,,,21319,21319,03/11/2009 12:00:00 AM
"6th St West, 1100 blk - West of Baylor St                      1-way WB",,,,25950,25950,07/25/2001 12:00:00 AM
"Amherst Dr, 12500 blk - South of Parmer Ln",5150,3739,,,8889,08/25/2003 12:00:00 AM
"6th St West, 1700 blk - West of Campbell St                  1-way WB",,,,25216,25216,06/23/2003 12:00:00 AM
"6th St West, 800 blk - East of Henderson St.                  1-way WB",,,,28633,28633,07/17/2002 12:00:00 AM
"7th St East, 1400 blk - East of Navasota St",,,12035,11628,23663,11/20/2006 12:00:00 AM
"7th St East, 1900 blk - East of Chicon St",,,10550,10488,21038,02/19/2009 12:00:00 AM
"7th St East, 2100 blk - West of Robert T. Martinez Jr. Blvd",,,12810,13111,25921,06/16/2005 12:00:00 AM
"7th St East, 2700 blk - East of Calles St",,,13157,13402,26559,03/22/2001 12:00:00 AM
"7th St East, 2800 blk - East of Pleasant Valley Rd",,,9180,10427,19607,03/25/2003 12:00:00 AM
"7th St East, 300 blk - East of San Jacinto Blvd (Sunday)  1-way EB ",,,7494,,7494,01/26/2003 12:00:00 AM
"7th St East, 3400 blk - East of Allen St",,,9382,10708,20090,03/25/2003 12:00:00 AM
"7th St East, 400 blk - West of Neches St                        1-way EB",,,12801,,12801,09/20/2004 12:00:00 AM
"7th St East, 4800 blk - East of Springdale Rd",,,8212,9706,17918,03/25/2003 12:00:00 AM
"7th St East, 5200 blk - East of Shady Ln",,,7292,9382,16674,03/25/2003 12:00:00 AM
"7th St East, 600 blk - East of Red River St                      1-way EB",,,16938,,16938,04/29/2009 12:00:00 AM
"7th St West, 500 blk - West of San Antonio St",,,1201,148,1349,02/06/2006 12:00:00 AM
"8th St East, 1000 blk - West of Waller ST",,,67,47,114,09/27/2005 12:00:00 AM
"8th St East, 1200 blk - West of Navasota St",,,60,23,83,09/27/2005 12:00:00 AM
"8th St East, 600 blk - East of Red River St",,,,9821,9821,04/01/2009 12:00:00 AM
"8th St East, 600 blk - East of Red River St",,,,9482,9482,01/23/2008 12:00:00 AM
"8th Street East, 2000 blk - West of Mill Street",,,169,137,306,09/20/2012 12:00:00 AM
"9th St East, 1000 blk - West of Waller St",,,79,34,113,09/27/2005 12:00:00 AM
"9th St East, 1200 blk - West of Navasota St",,,84,68,152,09/27/2005 12:00:00 AM
"9th St East, 200 blk - West of San Jacinto Blvd                1-way EB",,,3372,,3372,05/06/2003 12:00:00 AM
"9th St East, 600 blk - East of Red River St",,,1310,,1310,03/03/2009 12:00:00 AM
"9th St East, 600 blk - East of Red River St",,,1506,,1506,01/22/2008 12:00:00 AM
"9th St West, 1000 blk - West of N. Lamar Blvd",,,1172,955,2127,01/24/2001 12:00:00 AM
"9th St West, 500 blk - West of San Antonio St",,,3240,2380,5620,01/11/2001 12:00:00 AM
"9th St West, 800 blk - West of West Ave",,,2819,1289,4108,01/30/2003 12:00:00 AM
"9th St West, 900 blk - East of N. Lamar Blvd",,,2202,1358,3560,01/30/2003 12:00:00 AM
"Abilene Trail, 5500 blk - East of Smokehouse Trail",,,799,1098,1897,02/19/2013 12:00:00 AM
"Abilene Trail, 5500 blk - West of Chuck Wagon Trl",,,866,1153,2019,10/14/2008 12:00:00 AM
"Abilene Trail, 5700 blk - North of Convict Hill",723,1055,,,1778,01/22/2007 12:00:00 AM
"Abilene Trail, 5800 blk - North of Hawkeye Dr",899,955,,,1854,10/14/2008 12:00:00 AM
"Abilene Trl, 5500 blk - East of Smokehouse Trl",,,779,1098,1877,02/19/2013 12:00:00 AM
"Acadamy Dr, 100 blk - East of South Congress Ave",,,986,893,1879,05/16/2001 12:00:00 AM
"Adams Ave, 5500 blk - North of Burnet Rd",182,186,,,368,01/04/2013 12:00:00 AM
"Adams Ave, 5700 blk - South of Ullrich Ave",226,195,,,421,01/14/2013 12:00:00 AM
"Adams Ave, 5700 blk - South of Ullrich Ave",226,195,,,421,04/17/2013 12:00:00 AM
"Adirondack Trl, 8500 blk- North of Appalachian Trl",943,800,,,1743,02/22/2012 12:00:00 AM
"Aftonshire Way, 2800 blk - East of Nightjar Dr",,,787,747,1534,11/29/2007 12:00:00 AM
"Aftonshire Way, 3000 blk - West of Night Jar Dr",,,818,796,1614,04/01/2008 12:00:00 AM
"Aftonshire Way, 3000 blk - West of Night Jar Dr",,,755,689,1444,09/19/2007 12:00:00 AM
"Airport Blvd, 1100 blk - North of Oak Springs Dr",19429,16606,,,36035,05/01/2003 12:00:00 AM
"Airport Blvd, 3900 blk - South of Antone St",16387,14530,,,30917,03/09/2010 12:00:00 AM
