Contract ID #,Name,Developer/Owner,Unit Type,Development Program,Address,Zip Code,Council District,Contact Phone Number,Contact E-mail,Own/Rent,Total Units,Total Affordable Units,Status,Affordability Period Start Date,Affordability Period Start Year,Affordabilty Period,Affordability Period Expiration Date,Units at 30% MFI,Units at 40% MFI,Units at 50% MFI,Units at 60% MFI,Units at 65% MFI ,Units at 80% MFI,Market Rate Units,City Funding Amount,Approx. % of Funds Leveraged,Location 1,Lat,Long
22,Pecan Springs Commons,Community Partnerships for the Homeless,Fourplex,RHDA,5802 Sweeney Circle,78723,1,512-469-9130,,Rent,4,4,Completed,2/18/09,2009,99,2/18/09,0,0,4,0,0,0,0,"$791,158 ",61%,"5802 Sweeney Circle(30.3051114099162, -97.6799509532124)",30.30511141,-97.67995095
22,Pecan Springs Commons,Community Partnerships for the Homeless,Fourplex,RHDA,5804 Sweeney Circle,78723,1,512-469-9130,,Rent,4,4,Completed,2/18/09,2009,99,2/18/09,0,0,4,0,0,0,0,N/A,N/A,"5804 Sweeney Circle(30.3052934003297, -97.6798405537649)",30.3052934,-97.67984055
22,Pecan Springs Commons,Community Partnerships for the Homeless,Fourplex,RHDA,5805 Sweeney Circle,78723,1,512-469-9130,,Rent,4,4,Completed,2/18/09,2009,99,2/18/09,0,0,4,0,0,0,0,N/A,N/A,"5805 Sweeney Circle(30.3048910689532, -97.6790060774304)",30.30489107,-97.67900608
128,Aldrich 51,Austin DMA Housing II,Multifamily,SMART,1826 McBee Street,78723,9,,,Rent,240,216,In Progress,,UNK,5,,0,0,0,216,0,0,24,N/A,N/A,"1826 McBee Street(30.2982091598687, -97.7041814287569)",30.29820916,-97.70418143
22,Pecan Springs Commons,Community Partnerships for the Homeless,Fourplex,RHDA,5811 Sweeney Circle,78723,1,512-469-9130,,Rent,4,4,Completed,2/18/09,2009,99,2/18/09,0,0,4,0,0,0,0,N/A,N/A,"5811 Sweeney Circle(30.3055821970179, -97.6789109927531)",30.3055822,-97.67891099
23,Treaty Oaks,Community Partnerships for the Homeless,Multifamily,RHDA,3700 Manchaca Road,78704,5,512-586-2929,,Rent,47,47,Completed,2/25/09,2009,99,2/25/10,0,0,47,0,0,0,0,"$1,350,000 ",136%,"3700 Manchaca Road(30.2365889139842, -97.7843942141951)",30.23658891,-97.78439421
24,Pecan Springs Commons,Community Partnerships for the Homeless,Fourplex,RHDA,5803 Sweeney Circle,78723,1,512-469-9130,,Rent,4,4,Completed,3/18/12,2012,99,3/18/11,0,0,4,0,0,0,0,"$446,280 ",73%,"5803 Sweeney Circle(30.3047842649745, -97.6791611643279)",30.30478426,-97.67916116
24,Pecan Springs Commons,Community Partnerships for the Homeless,Fourplex,RHDA,2907 Sweeney Lane,78723,1,512-469-9130,,Rent,4,4,Completed,3/18/12,2012,99,3/18/11,0,0,4,0,0,0,0,N/A,N/A,"2907 Sweeney Lane(30.3057379612672, -97.6788623309976)",30.30573796,-97.67886233
25,Pecan Springs Commons,Community Partnerships for the Homeless,Fourplex,RHDA,5801 Sweeney Circle,78723,1,512-469-9130,,Rent,4,4,Completed,3/28/12,2012,99,3/28/11,0,0,4,0,0,0,0,"$193,720 ",73%,"5801 Sweeney Circle(30.3047649759407, -97.6795579168422)",30.30476498,-97.67955792
26,The Super Co-op,The College Houses,Multifamily,RHDA,1905 Nueces Street,78705,9,512-476-5678,nuecesmembers@gmail.com,Rent,50,50,Completed,11/3/09,2009,30,11/3/39,0,0,50,0,0,0,0,"$837,500 ",1707%,"1905 Nueces Street(30.283017984191, -97.743836076894)",30.283017984191000000000000000000,-97.743836076894000000000000000000
27,Franklin Gardens,Chestnut Senior Housing,Multifamily,RHDA,3522 E Martin Luther King Jr Boulevard,78723,1,512-524-0547,franklingardens@gmail.com,Rent,22,22,Completed,9/29/09,2009,50,9/29/59,0,0,22,0,0,0,0,"$1,000,000 ",219%,"3522 E Martin Luther King Jr Boulevard(30.2841327389135, -97.6972033990871)",30.28413274,-97.6972034
28,Fort Branch Landing,Fort Branch Landing LP,Multifamily,RHDA,4230 Ed Bluestein Boulevard,78723,1,512-926-8002,,Rent,250,250,Completed,12/13/00,2000,20,12/13/20,0,0,0,250,0,0,0,"$500,000 ",4122%,"4230 Ed Bluestein Boulevard(30.2777203215007, -97.66646716561)",30.27772032,-97.666467165610000000000000000000
29,2412 Bryan Street,Blackshear Neighborhood Development Corporation,Single Family,RHDA,2412 Bryan Street,78702,1,512-476-2222,,Rent,1,1,Completed,9/15/09,2009,99,9/15/08,0,0,0,1,0,0,0,"$572,500 ",69%,"2412 Bryan Street(30.2670946060283, -97.7163493772762)",30.26709461,-97.71634938
29,1116 Harvard Street,Blackshear Neighborhood Development Corporation,Single Family,RHDA,1116 Harvard Street,78702,1,512-476-2222,,Rent,1,1,Completed,9/15/09,2009,99,9/15/08,0,0,0,1,0,0,0,N/A,N/A,"1116 Harvard Street(30.2672397186309, -97.7162387220264)",30.26723972,-97.71623872
29,2503 E 9th Steet,Blackshear Neighborhood Development Corporation,Single Family,RHDA,2503 E 9th Steet,78702,1,512-476-2222,,Rent,1,1,Completed,9/15/09,2009,99,9/15/08,1,0,0,0,0,0,0,N/A,N/A,"2503 E 9th Steet(30.2648038720975, -97.7143057513509)",30.26480387,-97.71430575
29,1905 E 9th Street,Blackshear Neighborhood Development Corporation,Single Family,RHDA,1905 E 9th Street,78702,1,512-476-2222,,Rent,1,1,Completed,9/15/09,2009,99,9/15/08,0,0,1,0,0,0,0,N/A,N/A,"1905 E 9th Street(30.2639181308329, -97.7210012928342)",30.26391813,-97.72100129
29,1705 Rosewood Avenue,Blackshear Neighborhood Development Corporation,Duplex,RHDA,1705 Rosewood Avenue,78702,1,512-476-2222,,Rent,2,2,Completed,9/15/09,2009,99,9/15/08,0,0,2,0,0,0,0,N/A,N/A,"1705 Rosewood Avenue(30.2692117855035, -97.7206139935514)",30.26921179,-97.72061399
30,2102 Chicon Street,Blackland Community Development Corporation,Single Family,RHDA,2102 Chicon Street,78722,1,512-972-5180,,Rent,1,1,Completed,1/1/03,2003,20,1/1/23,0,0,0,1,0,0,0,"$572,500 ",69%,"2102 Chicon Street(30.2821393008315, -97.7219492022444)",30.2821393,-97.7219492
30,1700 Martin Luther King Jr Boulevard ,Blackland Community Development Corporation,Duplex,RHDA,1700 Martin Luther King Jr Boulevard ,78722,1,512-972-5180,,Rent,2,2,Completed,1/1/03,2003,20,1/1/23,0,0,0,2,0,0,0,N/A,N/A,"1700 Martin Luther King Jr Boulevard(30.2799132201882, -97.7231130036985)",30.27991322,-97.723113
30,1804 Martin Luther King Jr Boulevard,Blackland Community Development Corporation,Single Family,RHDA,1804 Martin Luther King Jr Boulevard,78722,1,512-972-5180,,Rent,1,1,Completed,1/1/03,2003,20,1/1/23,0,0,1,0,0,0,0,N/A,N/A,"1804 Martin Luther King Jr Boulevard(30.2800249156769, -97.72184557843)",30.28002492,-97.721845578430000000000000000000
30,2113 Salina Street,Blackland Community Development Corporation,Single Family,RHDA,2113 Salina Street,78722,1,512-972-5180,,Rent,1,1,Completed,1/1/03,2003,20,1/1/23,0,0,1,0,0,0,0,N/A,N/A,"2113 Salina Street(30.2825351864182, -97.7226241091127)",30.28253519,-97.72262411
30,1803 E 22nd Steet,Blackland Community Development Corporation,Duplex,RHDA,1803 E 22nd Steet,78722,1,512-972-5180,,Rent,2,2,Completed,1/1/03,2003,20,1/1/23,0,0,1,0,0,1,0,N/A,N/A,"1803 E 22nd Steet(30.2825632988123, -97.7224177428861)",30.2825633,-97.72241774
30,2111 Salina Street,Blackland Community Development Corporation,Single Family,RHDA,2111 Salina Street,78722,1,512-972-5180,,Rent,1,1,Completed,1/1/03,2003,20,1/1/23,0,0,0,0,0,1,0,N/A,N/A,"2111 Salina Street(30.2823954412867, -97.7225917302666)",30.28239544,-97.72259173
30,2107 Salina Street,Blackland Community Development Corporation,Single Family,RHDA,2107 Salina Street,78722,1,512-972-5180,,Rent,1,1,Completed,1/1/03,2003,20,1/1/23,0,0,0,0,0,1,0,N/A,N/A,"2107 Salina Street(30.2820867380412, -97.7225591677977)",30.28208674,-97.72255917
